Data, Source
Migration,https://stats.oecd.org/Index.aspx?DataSetCode=MIG
Country Borders,https://github.com/geodatasource/country-borders
Gross Domestic Product(GDP),https://www.kaggle.com/fernandol/countries-of-the-world
Crime Index,https://www.kaggle.com/dumbgeek/countries-dataset-2020?select=Crime+index+by+countries+2020.csv
Religion,https://www.nationmaster.com/country-info/stats/Religion/Religions/All
Language,https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory
Unemployment,https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS
Freedom,https://rsf.org/en/ranking_table
