"","From","To","Value"
"51844","Estonia","France",30
"51863","Estonia","Germany",787
"51901","Estonia","Hungary",11
"51937","Estonia","Iceland",21
"51974","Estonia","Italy",77
"52004","Estonia","Japan",147
"52037","Estonia","Korea",20
"52075","Estonia","Luxembourg",44
"52106","Estonia","Mexico",5
"52125","Estonia","Netherlands",348
"52163","Estonia","New Zealand",59
"52200","Estonia","Norway",208
"52238","Estonia","Poland",71
"52254","Estonia","Slovak Republic",1
"52280","Estonia","Spain",0
"52316","Estonia","Sweden",231
"52354","Estonia","Switzerland",120
"52397","Estonia","United States",179
"52424","Estonia","Slovenia",3
"54023","Finland","Australia",149
"54056","Finland","Austria",390
"54068","Finland","Belgium",238
"54087","Finland","Canada",110
"54104","Finland","Czech Republic",33
"54140","Finland","Denmark",293
"54177","Finland","Finland",0
"54208","Finland","France",282
"54227","Finland","Germany",1764
"54265","Finland","Hungary",56
"54302","Finland","Iceland",40
"54339","Finland","Italy",132
"54369","Finland","Japan",610
"54402","Finland","Korea",171
"54440","Finland","Luxembourg",110
"54471","Finland","Mexico",9
"54490","Finland","Netherlands",1224
"54528","Finland","New Zealand",121
"54566","Finland","Norway",471
"54604","Finland","Poland",64
"54621","Finland","Slovak Republic",2
"54651","Finland","Spain",958
"54687","Finland","Sweden",2161
"54725","Finland","Switzerland",379
"54749","Finland","Turkey",309
"54779","Finland","United States",514
"54811","Finland","Estonia",686
"54828","Finland","Slovenia",6
"56073","France","Australia",1671
"56106","France","Austria",1444
"56144","France","Belgium",12038
"56182","France","Canada",4960
"56199","France","Czech Republic",264
"56237","France","Denmark",861
"56274","France","Finland",286
"56329","France","Germany",14486
"56367","France","Hungary",359
"56404","France","Iceland",178
"56442","France","Italy",2061
"56473","France","Japan",6206
"56506","France","Korea",2444
"56544","France","Luxembourg",4087
"56576","France","Mexico",517
"56595","France","Netherlands",5855
"56633","France","New Zealand",2589
"56671","France","Norway",712
"56709","France","Poland",328
"56728","France","Portugal",4390
"56751","France","Slovak Republic",46
"56784","France","Spain",12125
"56820","France","Sweden",1095
"56858","France","Switzerland",13961
"56882","France","Turkey",1064
"56897","France","United Kingdom",15000
"56925","France","United States",5292
"56957","France","Estonia",284
"56977","France","Israel",2227
"56990","France","Slovenia",53
"59307","Germany","Australia",1388
"59340","Germany","Austria",18328
"59378","Germany","Belgium",2589
"59416","Germany","Canada",1520
"59435","Germany","Czech Republic",583
"59473","Germany","Denmark",2388
"59510","Germany","Finland",376
"59536","Germany","France",5700
"59555","Germany","Hungary",2616
"59592","Germany","Iceland",249
"59611","Germany","Italy",1835
"59625","Germany","Japan",5760
"59663","Germany","Korea",1583
"59682","Germany","Luxembourg",1003
"59695","Germany","Mexico",357
"59714","Germany","Netherlands",11680
"59752","Germany","New Zealand",1835
"59790","Germany","Norway",1285
"59828","Germany","Poland",1000
"59847","Germany","Portugal",2825
"59870","Germany","Slovak Republic",98
"59903","Germany","Spain",9428
"59939","Germany","Sweden",2469
"59977","Germany","Switzerland",19914
"60001","Germany","Turkey",9417
"60016","Germany","United Kingdom",9663
"60045","Germany","United States",4956
"60077","Germany","Estonia",514
"60100","Germany","Israel",164
"60113","Germany","Slovenia",79
"60969","Greece","Australia",332
"61002","Greece","Austria",1278
"61040","Greece","Belgium",1383
"61078","Greece","Canada",410
"61095","Greece","Czech Republic",150
"61131","Greece","Denmark",510
"61168","Greece","Finland",150
"61206","Greece","France",915
"61225","Greece","Germany",23530
"61263","Greece","Hungary",109
"61300","Greece","Iceland",97
"61337","Greece","Italy",611
"61367","Greece","Japan",262
"61400","Greece","Korea",87
"61438","Greece","Luxembourg",451
"61470","Greece","Mexico",13
"61489","Greece","Netherlands",4736
"61527","Greece","New Zealand",29
"61565","Greece","Norway",641
"61603","Greece","Poland",87
"61620","Greece","Slovak Republic",32
"61649","Greece","Spain",0
"61685","Greece","Sweden",1075
"61723","Greece","Switzerland",1798
"61747","Greece","Turkey",5848
"61757","Greece","United Kingdom",8858
"61782","Greece","United States",1298
"61814","Greece","Estonia",42
"61834","Greece","Israel",7
"61847","Greece","Slovenia",21
"68013","Hungary","Australia",163
"68046","Hungary","Austria",12085
"68077","Hungary","Belgium",702
"68108","Hungary","Canada",800
"68125","Hungary","Czech Republic",1088
"68159","Hungary","Denmark",666
"68196","Hungary","Finland",144
"68227","Hungary","France",545
"68246","Hungary","Germany",36714
"68282","Hungary","Hungary",0
"68318","Hungary","Iceland",124
"68355","Hungary","Italy",522
"68385","Hungary","Japan",957
"68418","Hungary","Korea",90
"68456","Hungary","Luxembourg",152
"68488","Hungary","Mexico",21
"68507","Hungary","Netherlands",3572
"68545","Hungary","New Zealand",113
"68583","Hungary","Norway",305
"68621","Hungary","Poland",140
"68638","Hungary","Slovak Republic",369
"68672","Hungary","Spain",0
"68708","Hungary","Sweden",582
"68746","Hungary","Switzerland",3079
"68770","Hungary","Turkey",155
"68780","Hungary","United Kingdom",8000
"68806","Hungary","United States",1103
"68837","Hungary","Estonia",58
"68857","Hungary","Israel",42
"68870","Hungary","Slovenia",135
"68906","Iceland","Australia",12
"68938","Iceland","Austria",42
"68968","Iceland","Belgium",47
"68996","Iceland","Canada",45
"69012","Iceland","Czech Republic",1
"69035","Iceland","Denmark",716
"69072","Iceland","Finland",15
"69101","Iceland","France",1
"69120","Iceland","Germany",260
"69158","Iceland","Hungary",6
"69196","Iceland","Italy",19
"69226","Iceland","Japan",34
"69259","Iceland","Korea",12
"69297","Iceland","Luxembourg",2
"69326","Iceland","Mexico",2
"69345","Iceland","Netherlands",149
"69383","Iceland","New Zealand",4
"69421","Iceland","Norway",302
"69451","Iceland","Poland",2
"69466","Iceland","Slovak Republic",2
"69487","Iceland","Spain",0
"69523","Iceland","Sweden",514
"69561","Iceland","Switzerland",64
"69605","Iceland","United States",76
"69635","Iceland","Estonia",3
"69649","Iceland","Slovenia",5
"73126","Ireland","Australia",2258
"73159","Ireland","Austria",332
"73197","Ireland","Belgium",405
"73228","Ireland","Canada",1615
"73245","Ireland","Czech Republic",55
"73281","Ireland","Denmark",252
"73318","Ireland","Finland",43
"73349","Ireland","France",696
"73368","Ireland","Germany",2469
"73406","Ireland","Hungary",80
"73443","Ireland","Iceland",32
"73480","Ireland","Italy",252
"73510","Ireland","Japan",537
"73543","Ireland","Korea",165
"73581","Ireland","Luxembourg",195
"73612","Ireland","Mexico",15
"73631","Ireland","Netherlands",2034
"73669","Ireland","New Zealand",913
"73707","Ireland","Norway",98
"73745","Ireland","Poland",87
