"","From","To","Value"
"142301","Switzerland","Germany",4161
"142339","Switzerland","Hungary",153
"142376","Switzerland","Iceland",32
"142414","Switzerland","Italy",499
"142445","Switzerland","Japan",654
"142478","Switzerland","Korea",156
"142516","Switzerland","Luxembourg",74
"142548","Switzerland","Mexico",65
"142567","Switzerland","Netherlands",728
"142605","Switzerland","New Zealand",181
"142643","Switzerland","Norway",124
"142681","Switzerland","Poland",34
"142698","Switzerland","Slovak Republic",18
"142727","Switzerland","Spain",1412
"142763","Switzerland","Sweden",196
"142788","Switzerland","Turkey",239
"142817","Switzerland","United States",542
"142849","Switzerland","Estonia",17
"142869","Switzerland","Israel",67
"142882","Switzerland","Slovenia",11
"150269","Turkey","Australia",506
"150302","Turkey","Austria",3260
"150340","Turkey","Belgium",2828
"150378","Turkey","Canada",2830
"150395","Turkey","Czech Republic",591
"150430","Turkey","Denmark",414
"150467","Turkey","Finland",717
"150505","Turkey","France",5030
"150524","Turkey","Germany",43775
"150562","Turkey","Hungary",1177
"150599","Turkey","Iceland",11
"150636","Turkey","Italy",1111
"150666","Turkey","Japan",1393
"150699","Turkey","Korea",953
"150737","Turkey","Luxembourg",291
"150769","Turkey","Mexico",29
"150788","Turkey","Netherlands",6593
"150826","Turkey","New Zealand",107
"150864","Turkey","Norway",1027
"150902","Turkey","Poland",1697
"150919","Turkey","Slovak Republic",10
"150950","Turkey","Spain",0
"150986","Turkey","Sweden",2153
"151024","Turkey","Switzerland",1966
"151054","Turkey","United Kingdom",6000
"151079","Turkey","United States",5588
"151111","Turkey","Estonia",152
"151131","Turkey","Israel",160
"151144","Turkey","Slovenia",84
"154895","United Kingdom","Australia",13325
"154928","United Kingdom","Austria",1641
"154966","United Kingdom","Belgium",2054
"155004","United Kingdom","Canada",0
"155021","United Kingdom","Czech Republic",1342
"155057","United Kingdom","Denmark",1542
"155094","United Kingdom","Finland",494
"155120","United Kingdom","France",8696
"155139","United Kingdom","Germany",11632
"155177","United Kingdom","Hungary",587
"155214","United Kingdom","Iceland",247
"155252","United Kingdom","Ireland",7400
"155285","United Kingdom","Italy",3461
"155321","United Kingdom","Japan",7669
"155359","United Kingdom","Korea",1417
"155397","United Kingdom","Luxembourg",629
"155429","United Kingdom","Mexico",209
"155448","United Kingdom","Netherlands",8744
"155486","United Kingdom","New Zealand",8771
"155524","United Kingdom","Norway",1180
"155562","United Kingdom","Poland",1067
"155581","United Kingdom","Portugal",8353
"155604","United Kingdom","Slovak Republic",171
"155637","United Kingdom","Spain",29363
"155673","United Kingdom","Sweden",1854
"155711","United Kingdom","Switzerland",3988
"155726","United Kingdom","Turkey",4069
"155746","United Kingdom","United States",12858
"155778","United Kingdom","Estonia",195
"155798","United Kingdom","Israel",498
"155811","United Kingdom","Slovenia",109
"155848","United States","Australia",3559
"155881","United States","Austria",1941
"155919","United States","Belgium",1923
"155957","United States","Canada",0
"155976","United States","Czech Republic",986
"156014","United States","Denmark",921
"156051","United States","Finland",402
"156089","United States","France",5472
"156108","United States","Germany",19186
"156146","United States","Hungary",1379
"156183","United States","Iceland",259
"156227","United States","Italy",1828
"156263","United States","Japan",24144
"156301","United States","Korea",20839
"156339","United States","Luxembourg",615
"156371","United States","Mexico",5030
"156390","United States","Netherlands",6013
"156428","United States","New Zealand",4230
"156466","United States","Norway",1085
"156504","United States","Poland",0
"156523","United States","Portugal",1115
"156546","United States","Slovak Republic",12
"156578","United States","Spain",9114
"156614","United States","Sweden",1433
"156649","United States","Switzerland",2713
"156664","United States","Turkey",3244
"156683","United States","United Kingdom",17000
"156700","United States","United States",276
"156717","United States","Chile",929
"156733","United States","Estonia",114
"156753","United States","Israel",2481
"156766","United States","Slovenia",77
"301747","Mexico","Latvia",6
"301768","Portugal","Latvia",16
"301907","Austria","Latvia",18
"301957","Slovak Republic","Latvia",2
"301978","Slovenia","Latvia",1
"302033","Luxembourg","Latvia",0
"302095","Netherlands","Latvia",21
"302265","Australia","Latvia",4
"302312","Iceland","Latvia",0
"302493","Korea","Latvia",8
"302723","Greece","Latvia",1
"302738","Japan","Latvia",7
"302758","Germany","Latvia",98
"302795","France","Latvia",62
"302839","Spain","Latvia",11
"302938","Switzerland","Latvia",4
"303053","Sweden","Latvia",39
"303265","New Zealand","Latvia",3
"303303","Hungary","Latvia",7
"303324","United States","Latvia",43
"303347","Belgium","Latvia",7
"303387","Denmark","Latvia",6
"303558","Turkey","Latvia",70
"303590","Norway","Latvia",15
"303600","Estonia","Latvia",54
"303685","Chile","Latvia",3
"303759","United Kingdom","Latvia",52
"303795","Israel","Latvia",27
"303970","Italy","Latvia",32
"303992","Ireland","Latvia",8
"304002","Czech Republic","Latvia",9
"304012","Poland","Latvia",34
"304063","Canada","Latvia",11
"304189","Finland","Latvia",25
